Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
1664, 5.45, 55.36, 993.70, 0, 400, 0.000000, 0.000000
2757, 5.38, 55.24, 993.48, 0, 400, 0.000000, 0.000000
3848, 5.33, 55.45, 993.40, 0, 400, 0.000000, 0.000000
4939, 5.31, 55.56, 993.50, 0, 400, 0.000000, 0.000000
6030, 5.25, 55.92, 993.55, 0, 400, 0.000000, 0.000000
7121, 5.19, 55.81, 993.63, 0, 400, 0.000000, 0.000000
8208, 5.12, 55.93, 993.68, 0, 400, 0.000000, 0.000000
9342, 5.10, 56.30, 993.60, 0, 400, 0.000000, 0.000000
10430, 5.09, 56.03, 993.65, 0, 400, 0.000000, 0.000000
11516, 5.11, 56.46, 993.85, 0, 400, 0.000000, 0.000000
12602, 5.11, 56.73, 993.88, 0, 400, 0.000000, 0.000000
13688, 5.10, 56.06, 993.70, 0, 400, 0.000000, 0.000000
14774, 5.13, 56.36, 993.65, 0, 400, 0.000000, 0.000000
15860, 5.21, 56.24, 993.50, 0, 400, 0.000000, 0.000000
16946, 5.25, 56.38, 993.50, 0, 400, 0.000000, 0.000000
18032, 5.30, 56.80, 993.50, 0, 413, 0.000000, 0.000000
19166, 5.31, 56.66, 993.60, 0, 400, 0.000000, 0.000000
20255, 5.29, 56.40, 993.60, 0, 400, 0.000000, 0.000000
21341, 5.36, 56.19, 993.48, 0, 400, 0.000000, 0.000000
22427, 5.43, 55.97, 993.45, 0, 400, 0.000000, 0.000000
23513, 5.43, 55.98, 993.55, 0, 400, 0.000000, 0.000000
24599, 5.40, 55.97, 993.60, 0, 400, 0.000000, 0.000000
25685, 5.40, 57.15, 993.73, 0, 400, 0.000000, 0.000000
26771, 5.35, 56.83, 993.73, 0, 400, 0.000000, 0.000000
27906, 5.33, 57.17, 993.70, 0, 405, 0.000000, 0.000000
28992, 5.36, 57.12, 993.70, 0, 417, 0.000000, 0.000000
30080, 5.39, 57.64, 993.65, 0, 421, 0.000000, 0.000000
31166, 5.40, 57.21, 993.55, 0, 422, 0.000000, 0.000000
32252, 5.41, 57.03, 993.40, 0, 420, 0.000000, 0.000000
33338, 5.52, 57.38, 993.35, 0, 424, 0.000000, 0.000000
34424, 5.62, 57.78, 993.35, 0, 411, 0.000000, 0.000000
35510, 5.63, 57.69, 993.25, 0, 400, 0.000000, 0.000000
36596, 5.66, 57.67, 993.35, 0, 400, 0.000000, 0.000000
37730, 5.66, 57.70, 993.33, 0, 400, 0.000000, 0.000000
38816, 5.68, 57.76, 993.30, 0, 400, 0.000000, 0.000000
39905, 5.65, 57.81, 993.35, 0, 400, 0.000000, 0.000000
40991, 5.62, 58.35, 993.45, 0, 400, 0.000000, 0.000000
42077, 5.59, 58.00, 993.48, 0, 400, 0.000000, 0.000000
43163, 5.52, 57.75, 993.58, 0, 400, 0.000000, 0.000000
44249, 5.48, 57.68, 993.60, 0, 400, 0.000000, 0.000000
45335, 5.43, 57.70, 993.75, 0, 400, 0.000000, 0.000000
46469, 5.34, 57.70, 993.80, 0, 400, 48.845855, 2.605117
47555, 5.26, 57.70, 993.93, 0, 400, 48.845866, 2.605133
48641, 5.16, 57.74, 994.05, 0, 400, 48.845873, 2.605147
49730, 5.09, 57.90, 994.15, 0, 400, 48.845874, 2.605170
50816, 5.01, 58.77, 994.28, 1, 400, 48.845870, 2.605200
51902, 4.95, 58.44, 994.33, 0, 400, 48.845840, 2.605286
52988, 4.89, 58.35, 994.40, 0, 400, 48.845810, 2.605318
54074, 4.82, 58.41, 994.43, 0, 400, 48.845814, 2.605353
55160, 4.74, 58.46, 994.50, 0, 400, 48.845841, 2.605391
56294, 4.66, 58.48, 994.55, 0, 400, 48.845837, 2.605430
57380, 4.61, 58.65, 994.65, 0, 400, 48.845841, 2.605473
58466, 4.58, 58.60, 994.73, 0, 400, 48.845838, 2.605515
59554, 4.53, 58.58, 994.73, 0, 400, 48.845838, 2.605557
60640, 4.46, 58.67, 994.80, 0, 400, 48.845887, 2.605590
61726, 4.40, 58.80, 994.80, 0, 400, 48.845907, 2.605628
62812, 4.39, 58.86, 994.80, 0, 400, 48.845923, 2.605667
63898, 4.32, 58.97, 994.93, 0, 400, 48.845959, 2.605747
65034, 4.30, 59.11, 994.88, 0, 400, 48.845976, 2.605789
66120, 4.27, 58.97, 994.98, 0, 405, 48.845995, 2.605821
67206, 4.24, 59.13, 994.98, 0, 409, 48.846003, 2.605851
68292, 4.22, 59.17, 994.90, 2, 419, 48.846020, 2.605878
69381, 4.22, 59.37, 994.90, 0, 412, 48.846046, 2.605903
70467, 4.20, 59.41, 994.93, 0, 416, 48.846058, 2.605942
71553, 4.20, 59.45, 994.83, 0, 418, 48.846104, 2.605978
72639, 4.21, 59.48, 994.85, 0, 403, 48.846078, 2.606013
73725, 4.20, 59.27, 994.93, 0, 406, 48.846098, 2.606048
74860, 4.19, 59.20, 994.90, 0, 410, 48.846101, 2.606118
75946, 4.18, 59.47, 994.85, 0, 409, 48.846112, 2.606152
77032, 4.17, 59.45, 994.90, 0, 404, 48.846138, 2.606191
78118, 4.18, 59.45, 994.83, 0, 400, 48.846156, 2.606229
79206, 4.17, 59.61, 994.90, 0, 400, 48.846175, 2.606263
80292, 4.17, 59.58, 994.95, 0, 400, 48.846188, 2.606299
81378, 4.15, 59.63, 994.95, 0, 400, 48.846210, 2.606331
82464, 4.13, 59.77, 994.88, 0, 408, 48.846231, 2.606371
83599, 4.15, 59.96, 994.80, 0, 411, 48.846252, 2.606415
84685, 4.13, 59.93, 994.90, 0, 406, 48.846264, 2.606450
85771, 4.16, 60.03, 994.78, 0, 408, 48.846282, 2.606489
86857, 4.15, 60.04, 994.85, 0, 404, 48.846307, 2.606535
87943, 4.14, 60.03, 994.80, 0, 400, 48.846346, 2.606608
89032, 4.13, 60.23, 994.85, 0, 413, 48.846364, 2.606638
90118, 4.15, 60.26, 994.75, 0, 401, 48.846378, 2.606668
91204, 4.16, 60.32, 994.75, 4, 410, 48.846389, 2.606708
92290, 4.15, 60.35, 994.78, 0, 400, 48.846399, 2.606755
93424, 4.16, 60.46, 994.83, 0, 405, 48.846412, 2.606798
94510, 4.16, 60.41, 994.70, 0, 411, 48.846424, 2.606836
95596, 4.16, 60.48, 994.70, 0, 402, 48.846437, 2.606873
96682, 4.14, 60.61, 994.75, 0, 400, 48.846456, 2.606924
97768, 4.14, 60.65, 994.75, 0, 400, 48.846475, 2.606969
98857, 4.14, 60.63, 994.73, 0, 400, 48.846487, 2.607004
99943, 4.13, 60.76, 994.75, 0, 400, 48.846506, 2.607077
101029, 4.13, 60.60, 994.78, 0, 402, 48.846520, 2.607127
102187, 4.11, 60.66, 994.75, 0, 403, 48.846524, 2.607172
103273, 4.13, 60.75, 994.73, 0, 403, 48.846535, 2.607229
104359, 4.14, 60.88, 994.75, 0, 406, 48.846541, 2.607279
105445, 4.13, 60.77, 994.65, 0, 414, 48.846543, 2.607327
106531, 4.14, 60.81, 994.65, 0, 412, 48.846543, 2.607373
107617, 4.13, 60.89, 994.75, 0, 406, 48.846544, 2.607417
108705, 4.14, 61.14, 994.65, 0, 407, 48.846553, 2.607461
109791, 4.13, 61.20, 994.70, 0, 401, 48.846563, 2.607504
110877, 4.13, 61.15, 994.63, 0, 412, 48.846574, 2.607551
112012, 4.13, 61.21, 994.63, 0, 403, 48.846582, 2.607649
113098, 4.14, 61.15, 994.60, 0, 401, 48.846581, 2.607696
114184, 4.15, 61.18, 994.63, 0, 400, 48.846581, 2.607744
115270, 4.12, 61.33, 994.63, 0, 401, 48.846586, 2.607791
116356, 4.12, 61.27, 994.60, 0, 400, 48.846586, 2.607838
117442, 4.10, 61.32, 994.68, 0, 402, 48.846589, 2.607885
118531, 4.11, 61.45, 994.60, 0, 412, 48.846593, 2.607929
119617, 4.12, 61.60, 994.60, 0, 401, 48.846598, 2.607979
120752, 4.12, 61.51, 994.55, 0, 400, 48.846601, 2.608033
121838, 4.11, 61.52, 994.55, 0, 403, 48.846604, 2.608084
122924, 4.12, 61.52, 994.60, 0, 400, 48.846610, 2.608187
124010, 4.13, 61.52, 994.60, 0, 408, 48.846617, 2.608239
125096, 4.13, 61.63, 994.55, 0, 400, 48.846625, 2.608288
126182, 4.12, 61.69, 994.55, 0, 402, 48.846633, 2.608339
127268, 4.14, 61.78, 994.50, 0, 404, 48.846637, 2.608387
128357, 4.14, 61.88, 994.48, 0, 407, 48.846645, 2.608436
129443, 4.15, 61.74, 994.43, 0, 403, 48.846652, 2.608485
130578, 4.16, 61.73, 994.33, 0, 413, 48.846658, 2.608531
131739, 4.15, 61.93, 994.35, 0, 402, 48.846665, 2.608572
132923, 4.16, 61.98, 994.40, 0, 403, 48.846680, 2.608658
134026, 4.17, 61.87, 994.35, 0, 404, 48.846691, 2.608701
135112, 4.16, 61.88, 994.35, 0, 406, 48.846695, 2.608741
136198, 4.17, 62.07, 994.30, 0, 401, 48.846705, 2.608786
137284, 4.17, 62.10, 994.30, 0, 400, 48.846709, 2.608836
138372, 4.18, 62.22, 994.33, 0, 413, 48.846715, 2.608888
139458, 4.20, 62.18, 994.30, 0, 404, 48.846717, 2.608936
140544, 4.20, 62.06, 994.28, 0, 409, 48.846719, 2.608985
141630, 4.21, 62.21, 994.25, 0, 403, 48.846718, 2.609019
142716, 4.21, 62.20, 994.20, 0, 400, 48.846723, 2.609062
143802, 4.20, 62.30, 994.28, 0, 400, 48.846723, 2.609104
144888, 4.22, 62.23, 994.23, 0, 410, 48.846738, 2.609199
145974, 4.24, 62.19, 994.23, 0, 422, 48.846744, 2.609255
