Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
46469,5.34,57.7,993.8,0,400,48.845855,2.605117
47555,5.26,57.7,993.93,0,400,48.845866,2.605133
48641,5.16,57.74,994.05,0,400,48.845873,2.605147
49730,5.09,57.9,994.15,0,400,48.845874,2.60517
50816,5.01,58.77,994.28,1,400,48.84587,2.6052
51902,4.95,58.44,994.33,0,400,48.84584,2.605286
52988,4.89,58.35,994.4,0,400,48.84581,2.605318
54074,4.82,58.41,994.43,0,400,48.845814,2.605353
55160,4.74,58.46,994.5,0,400,48.845841,2.605391
56294,4.66,58.48,994.55,0,400,48.845837,2.60543
57380,4.61,58.65,994.65,0,400,48.845841,2.605473
58466,4.58,58.6,994.73,0,400,48.845838,2.605515
59554,4.53,58.58,994.73,0,400,48.845838,2.605557
60640,4.46,58.67,994.8,0,400,48.845887,2.60559
61726,4.4,58.8,994.8,0,400,48.845907,2.605628
62812,4.39,58.86,994.8,0,400,48.845923,2.605667
63898,4.32,58.97,994.93,0,400,48.845959,2.605747
65034,4.3,59.11,994.88,0,400,48.845976,2.605789
66120,4.27,58.97,994.98,0,405,48.845995,2.605821
67206,4.24,59.13,994.98,0,409,48.846003,2.605851
68292,4.22,59.17,994.9,2,419,48.84602,2.605878
69381,4.22,59.37,994.9,0,412,48.846046,2.605903
70467,4.2,59.41,994.93,0,416,48.846058,2.605942
71553,4.2,59.45,994.83,0,418,48.846104,2.605978
72639,4.21,59.48,994.85,0,403,48.846078,2.606013
73725,4.2,59.27,994.93,0,406,48.846098,2.606048
74860,4.19,59.2,994.9,0,410,48.846101,2.606118
75946,4.18,59.47,994.85,0,409,48.846112,2.606152
77032,4.17,59.45,994.9,0,404,48.846138,2.606191
78118,4.18,59.45,994.83,0,400,48.846156,2.606229
79206,4.17,59.61,994.9,0,400,48.846175,2.606263
80292,4.17,59.58,994.95,0,400,48.846188,2.606299
81378,4.15,59.63,994.95,0,400,48.84621,2.606331
82464,4.13,59.77,994.88,0,408,48.846231,2.606371
83599,4.15,59.96,994.8,0,411,48.846252,2.606415
84685,4.13,59.93,994.9,0,406,48.846264,2.60645
85771,4.16,60.03,994.78,0,408,48.846282,2.606489
86857,4.15,60.04,994.85,0,404,48.846307,2.606535
87943,4.14,60.03,994.8,0,400,48.846346,2.606608
89032,4.13,60.23,994.85,0,413,48.846364,2.606638
90118,4.15,60.26,994.75,0,401,48.846378,2.606668
91204,4.16,60.32,994.75,4,410,48.846389,2.606708
92290,4.15,60.35,994.78,0,400,48.846399,2.606755
93424,4.16,60.46,994.83,0,405,48.846412,2.606798
94510,4.16,60.41,994.7,0,411,48.846424,2.606836
95596,4.16,60.48,994.7,0,402,48.846437,2.606873
96682,4.14,60.61,994.75,0,400,48.846456,2.606924
97768,4.14,60.65,994.75,0,400,48.846475,2.606969
98857,4.14,60.63,994.73,0,400,48.846487,2.607004
